[2026-04-10 23:12:07] [WARNING] VLC not found in common paths; hoping it is on PATH
[2026-04-10 23:12:07] [INFO   ] VLC player ready (python-vlc / libvlc)
[2026-04-10 23:13:05] [INFO   ] Alive check: 46/50 reachable
[2026-04-10 23:13:05] [INFO   ] Preloaded 'pop': 46 alive stations
[2026-04-10 23:13:07] [DEBUG  ] Filtered 6 dead station(s): Arrow Classic Rock, Hard Rock Radio FM, Bandit Rock, Soft Classic Rock Radio, The Rock - NZ's #1 rock radio station …
[2026-04-10 23:13:07] [INFO   ] Alive check: 44/50 reachable
[2026-04-10 23:13:07] [INFO   ] Preloaded 'rock': 44 alive stations
[2026-04-10 23:13:08] [DEBUG  ] Filtered 2 dead station(s): Radio City Hindi, radiocityhindi
[2026-04-10 23:13:08] [INFO   ] Alive check: 41/43 reachable
[2026-04-10 23:13:08] [INFO   ] Preloaded 'hindi': 41 alive stations
[2026-04-10 23:13:08] [INFO   ] Background preload complete.
[2026-04-10 23:15:26] [DEBUG  ] Cache hit 'kannada' (13 stations)
[2026-04-10 23:15:52] [INFO   ] Playing: https://node-31.zeno.fm/fcsk9ryerd0uv?rj-ttl=5&rj-tok=AAABdXnVZ3sA-61zQpwDIgRWvw
[2026-04-10 23:15:52] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:52] [INFO   ] PLAY: Sakkath Radio Kannada — https://node-31.zeno.fm/fcsk9ryerd0uv?rj-ttl=5&rj-tok=AAABdXnVZ3sA-61zQpwDIgRWvw
[2026-04-10 23:15:57] [DEBUG  ] VLC: now playing
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
[2026-04-10 23:15:57] [DEBUG  ] VLC: buffering…
